prompt,baseline,context,augmented_prompt
qual é o CEP do endereço QNM 07 CONJUNTO H LOTE 17 S/N CEILANDIA SUL (CEILANDIA)?,o CEP do endereço QNM 07 CONJUNTO H LOTE 17 S/N CEILANDIA SUL (CEILANDIA) é 72215078 porque o endereço QNM 07 CONJUNTO H LOTE 17 S/N CEILANDIA SUL (CEILANDIA) está contido no endereço QNM 7 Conjunto H Ceilândia Sul (Ceilândia) cujo CEP é 72215078,"CEP: 72260778 | Descrição: QNO 17 Conjunto H | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260651 | Descrição: QNO 16 Conjunto 51 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260877 | Descrição: QNO 18 Conjunto 77 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260775 | Descrição: QNO 17 Conjunto E | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260878 | Descrição: QNO 18 Conjunto 78 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72260778 | Descrição: QNO 17 Conjunto H | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260651 | Descrição: QNO 16 Conjunto 51 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260877 | Descrição: QNO 18 Conjunto 77 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260775 | Descrição: QNO 17 Conjunto E | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260878 | Descrição: QNO 18 Conjunto 78 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)


Pergunta:
qual é o CEP do endereço QNM 07 CONJUNTO H LOTE 17 S/N CEILANDIA SUL (CEILANDIA)?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço QI 13 LOTE 01 A 14 ALA 01 BOXES 17 A 20 TAGUATINGA?,o CEP do endereço QI 13 LOTE 01 A 14 ALA 01 BOXES 17 A 20 TAGUATINGA é 72135150 porque o endereço QI 13 LOTE 01 A 14 ALA 01 BOXES 17 A 20 TAGUATINGA está contido no endereço QI 15 Setor Industrial (Taguatinga) cujo CEP é 72135150,"CEP: 72151520 | Descrição: EQNL 17/19 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72152500 | Descrição: EQNL 21/23 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72115170 | Descrição: QNB 17 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72140190 | Descrição: QNJ 19 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72152505 | Descrição: EQNL 21/23 Área Especial s/n | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72151520 | Descrição: EQNL 17/19 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72152500 | Descrição: EQNL 21/23 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72115170 | Descrição: QNB 17 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72140190 | Descrição: QNJ 19 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72152505 | Descrição: EQNL 21/23 Área Especial s/n | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)


Pergunta:
qual é o CEP do endereço QI 13 LOTE 01 A 14 ALA 01 BOXES 17 A 20 TAGUATINGA?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SHC/ SW CLSW 103 BL A S/N LOJA 54 ST SUDOESTE?,o CEP do endereço SHC/ SW CLSW 103 BL A S/N LOJA 54 ST SUDOESTE é 70310500 porque o endereço SHC/ SW CLSW 103 BL A S/N LOJA 54 ST SUDOESTE está contido no endereço Galeria dos Estados Asa Sul cujo CEP é 70310500,"CEP: 70670431 | Descrição: CLSW 105 Bloco A | Complemento:  | Descrição Bairro: Setor Sudoeste
CEP: 70670531 | Descrição: CLSW 104 Bloco A | Complemento:  | Descrição Bairro: Setor Sudoeste
CEP: 70743500 | Descrição: CLN 107 | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70670511 | Descrição: CLSW 102 Bloco A | Complemento:  | Descrição Bairro: Setor Sudoeste
CEP: 70743510 | Descrição: CLN 107 Bloco A | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70670431 | Descrição: CLSW 105 Bloco A | Complemento:  | Descrição Bairro: Setor Sudoeste
CEP: 70670531 | Descrição: CLSW 104 Bloco A | Complemento:  | Descrição Bairro: Setor Sudoeste
CEP: 70743500 | Descrição: CLN 107 | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70670511 | Descrição: CLSW 102 Bloco A | Complemento:  | Descrição Bairro: Setor Sudoeste
CEP: 70743510 | Descrição: CLN 107 Bloco A | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SHC/ SW CLSW 103 BL A S/N LOJA 54 ST SUDOESTE?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço 06 CONJUNTO 05/06 LOTE 3-A S/N ALTIPLANO LESTE PARANOA?,o CEP do endereço 06 CONJUNTO 05/06 LOTE 3-A S/N ALTIPLANO LESTE PARANOA é 71570600 porque o endereço 06 CONJUNTO 05/06 LOTE 3-A S/N ALTIPLANO LESTE PARANOA está contido no endereço Quadra 6 Paranoá cujo CEP é 71570600,"CEP: 73370076 | Descrição: Conjunto Residencial 76 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73370077 | Descrição: Conjunto Residencial 77 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73370087 | Descrição: Conjunto Residencial 87 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73381096 | Descrição: Conjunto Residencial 96 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73370062 | Descrição: Conjunto Residencial 62 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 73370076 | Descrição: Conjunto Residencial 76 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73370077 | Descrição: Conjunto Residencial 77 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73370087 | Descrição: Conjunto Residencial 87 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73381096 | Descrição: Conjunto Residencial 96 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)
CEP: 73370062 | Descrição: Conjunto Residencial 62 | Complemento:  | Descrição Bairro: Vale do Amanhecer (Planaltina)


Pergunta:
qual é o CEP do endereço 06 CONJUNTO 05/06 LOTE 3-A S/N ALTIPLANO LESTE PARANOA?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
"qual é o CEP do endereço SHCS CR QD 516, BLOCO B 69 1 PAVIMENTO PARTE C0426 ASA SUL?","o CEP do endereço SHCS CR QD 516, BLOCO B 69 1 PAVIMENTO PARTE C0426 ASA SUL é 70381525 porque o endereço SHCS CR QD 516, BLOCO B 69 1 PAVIMENTO PARTE C0426 ASA SUL está contido no endereço CRS 516 Bloco B Asa Sul cujo CEP é 70381525","CEP: 70361520 | Descrição: CRS 511 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70381550 | Descrição: CRS 516 | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70381520 | Descrição: CRS 515 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70351520 | Descrição: CRS 507 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70330520 | Descrição: CRS 502 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70361520 | Descrição: CRS 511 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70381550 | Descrição: CRS 516 | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70381520 | Descrição: CRS 515 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70351520 | Descrição: CRS 507 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70330520 | Descrição: CRS 502 Bloco B | Complemento:  | Descrição Bairro: Asa Sul


Pergunta:
qual é o CEP do endereço SHCS CR QD 516, BLOCO B 69 1 PAVIMENTO PARTE C0426 ASA SUL?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço QUADRA 23 CONJUNTO 17 LOTE 25 LOJA: 01; PARANOA?,o CEP do endereço QUADRA 23 CONJUNTO 17 LOTE 25 LOJA: 01; PARANOA é 71572315 porque o endereço QUADRA 23 CONJUNTO 17 LOTE 25 LOJA: 01; PARANOA está contido no endereço Quadra 23 Conjunto 17 Paranoá cujo CEP é 71572315,"CEP: 72260651 | Descrição: QNO 16 Conjunto 51 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260647 | Descrição: QNO 16 Conjunto 47 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260744 | Descrição: QNO 17 Conjunto 44 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260836 | Descrição: QNO 18 Conjunto 36 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260765 | Descrição: QNO 17 Conjunto 65 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72260651 | Descrição: QNO 16 Conjunto 51 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260647 | Descrição: QNO 16 Conjunto 47 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260744 | Descrição: QNO 17 Conjunto 44 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260836 | Descrição: QNO 18 Conjunto 36 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)
CEP: 72260765 | Descrição: QNO 17 Conjunto 65 | Complemento:  | Descrição Bairro: Ceilândia Norte (Ceilândia)


Pergunta:
qual é o CEP do endereço QUADRA 23 CONJUNTO 17 LOTE 25 LOJA: 01; PARANOA?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço QE 1 CONJUNTO H CASA 65 GUARA I?,o CEP do endereço QE 1 CONJUNTO H CASA 65 GUARA I é 71020081 porque o endereço QE 1 CONJUNTO H CASA 65 GUARA I está contido no endereço QE 1 Conjunto H Guará I cujo CEP é 71020081,"CEP: 72110980 | Descrição: QNA 30 Lote 15 Casa 02 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72125010 | Descrição: QNE 1 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72110550 | Descrição: QNA 55 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72125210 | Descrição: QNE 21 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72125060 | Descrição: QNE 6 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72110980 | Descrição: QNA 30 Lote 15 Casa 02 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72125010 | Descrição: QNE 1 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72110550 | Descrição: QNA 55 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72125210 | Descrição: QNE 21 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72125060 | Descrição: QNE 6 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)


Pergunta:
qual é o CEP do endereço QE 1 CONJUNTO H CASA 65 GUARA I?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SCLS QD. 305 BLOCO A LOJA 19 ASA SUL?,o CEP do endereço SCLS QD. 305 BLOCO A LOJA 19 ASA SUL é 70352510 porque o endereço SCLS QD. 305 BLOCO A LOJA 19 ASA SUL está contido no endereço CLS 305 Bloco A Asa Sul cujo CEP é 70352510,"CEP: 70347550 | Descrição: CLS 108 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70346550 | Descrição: CLS 107 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70347500 | Descrição: CLS 108 | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70275540 | Descrição: CLS 212 Bloco D | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70330545 | Descrição: CLS 102 Bloco D | Complemento:  | Descrição Bairro: Asa Sul
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70347550 | Descrição: CLS 108 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70346550 | Descrição: CLS 107 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70347500 | Descrição: CLS 108 | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70275540 | Descrição: CLS 212 Bloco D | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70330545 | Descrição: CLS 102 Bloco D | Complemento:  | Descrição Bairro: Asa Sul


Pergunta:
qual é o CEP do endereço SCLS QD. 305 BLOCO A LOJA 19 ASA SUL?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço QUADRA 1 CONJUNTO D .41 LOJA 01 SETOR RESIDENCIAL LESTE (PLANALTINA)?,o CEP do endereço QUADRA 1 CONJUNTO D .41 LOJA 01 SETOR RESIDENCIAL LESTE (PLANALTINA) é 73350104 porque o endereço QUADRA 1 CONJUNTO D .41 LOJA 01 SETOR RESIDENCIAL LESTE (PLANALTINA) está contido no endereço Quadra 1 Conjunto D Setor Residencial Leste (Planaltina) cujo CEP é 73350104,"CEP: 73092907 | Descrição: Rodovia DF-425 Km 1 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73092906 | Descrição: Rodovia DF-425 Km 1 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73093901 | Descrição: Rodovia DF-420 Km 4,5 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73091901 | Descrição: Rodovia BR-020 Km 4 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73093902 | Descrição: Rodovia DF-420 Km 4 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 73092907 | Descrição: Rodovia DF-425 Km 1 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73092906 | Descrição: Rodovia DF-425 Km 1 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73093901 | Descrição: Rodovia DF-420 Km 4,5 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73091901 | Descrição: Rodovia BR-020 Km 4 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)
CEP: 73093902 | Descrição: Rodovia DF-420 Km 4 | Complemento:  | Descrição Bairro: Setor Habitacional Contagem (Sobradinho)


Pergunta:
qual é o CEP do endereço QUADRA 1 CONJUNTO D .41 LOJA 01 SETOR RESIDENCIAL LESTE (PLANALTINA)?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço CD COOHAPLAN CJ CM LOTES 9/10/11 S/N PLANALTINA?,o CEP do endereço CD COOHAPLAN CJ CM LOTES 9/10/11 S/N PLANALTINA é 73403303 porque o endereço CD COOHAPLAN CJ CM LOTES 9/10/11 S/N PLANALTINA está contido no endereço Módulo 1 Condomínio Mestre DArmas (Planaltina) cujo CEP é 73403303,"CEP: 70790154 | Descrição: SGAN 915 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790114 | Descrição: SGAN 911 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790155 | Descrição: SGAN 915 Módulo E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790113 | Descrição: SGAN 911 Módulo C | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790902 | Descrição: SGAN 911 Módulo G | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70790154 | Descrição: SGAN 915 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790114 | Descrição: SGAN 911 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790155 | Descrição: SGAN 915 Módulo E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790113 | Descrição: SGAN 911 Módulo C | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790902 | Descrição: SGAN 911 Módulo G | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço CD COOHAPLAN CJ CM LOTES 9/10/11 S/N PLANALTINA?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
