CEP	id_logradouro	tipo	descricao	id_cidade	UF	complemento	descricao_sem_numero	descricao_cidade	codigo_cidade_ibge	descricao_bairro
70002900	731503	SBN	SBN Quadra 1 Bloco A	1493	DF	""	SBN Quadra 1 Bloco A	Brasília	5300108	Asa Norte
70002901	731504	SBN	SBN Quadra 1 Bloco A 19º Andar	1493	DF	""	SBN Quadra 1 Bloco A 19º Andar	Brasília	5300108	Asa Norte
70002903	731505	SBN	SBN Quadra 1 Bloco A 20º andar	1493	DF	""	SBN Quadra 1 Bloco A 20º andar	Brasília	5300108	Asa Norte
70002904	731506	SBN	SBN Quadra 1 Bloco A 10º andar	1493	DF	""	SBN Quadra 1 Bloco A 10º andar	Brasília	5300108	Asa Norte
70002905	731507	SBN	SBN Quadra 1 Bloco A 7º andar	1493	DF	""	SBN Quadra 1 Bloco A 7º andar	Brasília	5300108	Asa Norte
70002906	731508	SBN	SBN Quadra 1 Bloco A 12º Andar Ala Norte	1493	DF	""	SBN Quadra 1 Bloco A 12º Andar Ala Norte	Brasília	5300108	Asa Norte
70003902	731509	SBN	SBN Quadra 1 Bloco A	1493	DF	""	SBN Quadra 1 Bloco A	Brasília	5300108	Asa Norte
70037900	731510	SAUS	SAUS Quadra 6 Bloco A	1493	DF	""	SAUS Quadra 6 Bloco A	Brasília	5300108	Asa Sul
70040010	731511	SBN	SBN Quadra 1	1493	DF	""	SBN Quadra 1	Brasília	5300108	Asa Norte
70040020	731512	SBN	SBN Quadra 2	1493	DF	""	SBN Quadra 2	Brasília	5300108	Asa Norte
70040023	731513	SBN	SBN Quadra 2 Bloco C	1493	DF	""	SBN Quadra 2 Bloco C	Brasília	5300108	Asa Norte
70040025	731514	SBN	SBN Quadra 2 Bloco E	1493	DF	""	SBN Quadra 2 Bloco E	Brasília	5300108	Asa Norte
70040031	731515	SBN	SBN Quadra 2 Bloco L	1493	DF	""	SBN Quadra 2 Bloco L	Brasília	5300108	Asa Norte
70040035	731516	SBN	SBN Quadra 2 Bloco P	1493	DF	""	SBN Quadra 2 Bloco P	Brasília	5300108	Asa Norte
70040100	731517	Galeria	Galeria Oeste	1493	DF	""	Galeria Oeste	Brasília	5300108	Asa Norte
70040210	731518	SAUN	SAUN Quadra 1	1493	DF	""	SAUN Quadra 1	Brasília	5300108	Asa Norte
70040220	731519	SAUN	SAUN Quadra 2	1493	DF	""	SAUN Quadra 2	Brasília	5300108	Asa Norte
70040230	731520	SAUN	SAUN Quadra 3	1493	DF	""	SAUN Quadra 3	Brasília	5300108	Asa Norte
70040240	731521	SAUN	SAUN Quadra 4	1493	DF	""	SAUN Quadra 4	Brasília	5300108	Asa Norte
70040250	731522	SAUN	SAUN Quadra 5	1493	DF	""	SAUN Quadra 5	Brasília	5300108	Asa Norte
70040252	731523	SAUN	SAUN Quadra 5 Lote B	1493	DF	""	SAUN Quadra 5 Lote B	Brasília	5300108	Asa Norte
70040901	731524	SAUN	SAUN Quadra 1 Bloco D	1493	DF	""	SAUN Quadra 1 Bloco D	Brasília	5300108	Asa Norte
70040902	731525	SAUN	SAUN Quadra 3 Bloco A	1493	DF	""	SAUN Quadra 3 Bloco A	Brasília	5300108	Asa Norte
70040903	731526	SBN	SBN Quadra 1 Bloco C	1493	DF	""	SBN Quadra 1 Bloco C	Brasília	5300108	Asa Norte
70040904	731527	SBN	SBN Quadra 2 Bloco H	1493	DF	""	SBN Quadra 2 Bloco H	Brasília	5300108	Asa Norte
70040905	731528	SBN	SBN Quadra 2 Bloco J	1493	DF	""	SBN Quadra 2 Bloco J	Brasília	5300108	Asa Norte
70040906	731529	Esplanada	Esplanada dos Ministérios Bloco K	1493	DF	""	Esplanada dos Ministérios Bloco K	Brasília	5300108	Zona Cívico-Administrativa
70040907	731530	SBN	SBN Quadra 1 Bloco H	1493	DF	""	SBN Quadra 1 Bloco H	Brasília	5300108	Asa Norte
